material,cell source,cell tissue,time (hr),test,test indicator,viability (%),Hydrodynamic diameter (nm),Cell type,Molecular weight (g/mol),AR,IR,X,E,pot
32,7.0,5.0,24.0,10.0,1.0,100.81,10.0,105.0,60.08431,,,,,
32,7.0,5.0,24.0,10.0,1.0,70.11,10.0,105.0,60.08431,,,,,
32,7.0,5.0,24.0,10.0,1.0,22.617,10.0,105.0,60.08431,,,,,
32,7.0,5.0,24.0,31.0,15.0,123.42,10.0,105.0,60.08431,,,,,
32,7.0,5.0,24.0,31.0,15.0,114.38,10.0,105.0,60.08431,,,,,
32,7.0,5.0,24.0,31.0,15.0,82.714,10.0,105.0,60.08431,,,,,
32,7.0,5.0,24.0,31.0,15.0,25.525,10.0,105.0,60.08431,,,,,
32,7.0,5.0,24.0,19.0,9.0,4.5234,10.0,105.0,60.08431,,,,,
32,7.0,5.0,24.0,19.0,9.0,6.1389,10.0,105.0,60.08431,,,,,
32,7.0,5.0,24.0,19.0,9.0,22.294,10.0,105.0,60.08431,,,,,
32,7.0,5.0,24.0,19.0,9.0,69.467,10.0,105.0,60.08431,,,,,
32,7.0,5.0,24.0,20.0,13.0,95.315,10.0,105.0,60.08431,,,,,
32,7.0,5.0,24.0,20.0,13.0,86.268,10.0,105.0,60.08431,,,,,
32,7.0,5.0,24.0,20.0,13.0,69.467,10.0,105.0,60.08431,,,,,
32,7.0,5.0,24.0,20.0,13.0,9.6931,10.0,105.0,60.08431,,,,,
32,7.0,5.0,24.0,20.0,4.0,94.023,10.0,105.0,60.08431,,,,,
32,7.0,5.0,24.0,20.0,4.0,91.761,10.0,105.0,60.08431,,,,,
32,7.0,5.0,24.0,20.0,4.0,71.729,10.0,105.0,60.08431,,,,,
32,7.0,5.0,24.0,20.0,4.0,44.265,10.0,105.0,60.08431,,,,,
18,5.0,23.0,24.0,22.0,15.0,102.0,18.0,125.0,231.53262,0.943,0.943,2.75,0.901,
18,5.0,23.0,24.0,22.0,15.0,105.08,18.0,125.0,231.53262,0.943,0.943,2.75,0.901,
18,5.0,23.0,24.0,22.0,15.0,100.0,18.0,125.0,231.53262,0.943,0.943,2.75,0.901,
18,5.0,23.0,24.0,22.0,15.0,100.0,18.0,125.0,231.53262,0.943,0.943,2.75,0.901,
18,5.0,23.0,24.0,22.0,15.0,80.0,18.0,125.0,231.53262,0.943,0.943,2.75,0.901,
18,2.0,23.0,24.0,22.0,15.0,101.97,18.0,81.0,231.53262,0.943,0.943,2.75,0.901,
18,2.0,23.0,24.0,22.0,15.0,115.09,18.0,81.0,231.53262,0.943,0.943,2.75,0.901,
18,2.0,23.0,24.0,22.0,15.0,115.09,18.0,81.0,231.53262,0.943,0.943,2.75,0.901,
18,2.0,23.0,24.0,22.0,15.0,100.1,18.0,81.0,208.9804,0.943,0.943,2.75,0.901,
18,2.0,23.0,24.0,22.0,15.0,118.08,18.0,81.0,208.9804,0.943,0.943,2.75,0.901,
18,2.0,23.0,24.0,22.0,15.0,80.0,18.0,81.0,208.9804,0.943,0.943,2.75,0.901,
18,2.0,23.0,24.0,22.0,15.0,75.077,18.0,81.0,208.9804,0.943,0.943,2.75,0.901,
18,2.0,23.0,24.0,22.0,15.0,50.0,18.0,81.0,208.9804,0.943,0.943,2.75,0.901,
18,2.0,23.0,24.0,22.0,15.0,38.0,18.0,81.0,208.9804,0.943,0.943,2.75,0.901,
18,2.0,23.0,24.0,22.0,15.0,34.923,18.0,81.0,208.9804,0.943,0.943,2.75,0.901,
18,2.0,23.0,24.0,22.0,15.0,89.986,18.0,81.0,208.9804,0.943,0.943,2.75,0.901,
18,2.0,23.0,24.0,22.0,15.0,80.245,18.0,81.0,208.9804,0.943,0.943,2.75,0.901,
